country,date,Gross Domestic Product (GDP),Gross National Income (GNI),Inflation rate,Unemployment rate,Poverty rate,Life expectancy,Literacy rate,Access to electricity,Mobile phone subscriptions,Government expenditure on education,Foreign direct investment (FDI),Exports of goods and services,Imports of goods and services,Gross capital formation,Agricultural land area,Agricultural production index
Australia,2015,1351768945139.11,1324170023071.21,1.50836672165921,6.06,,82.4,,100.0,108.1853261,14.8824272155762,3.46899584699556,20.0581264737037,21.5361539403705,26.2580990230395,45.3144240657095,101.22
Brazil,2020,1476107231194.11,1445311210338.19,3.21176803803376,13.7,,74.009,,99.7027130126953,96.54706819,11.5625896453857,2.59263795330717,16.4535520041337,15.8485265369506,16.1158206144162,28.5646185634603,111.97
Brazil,2019,1873288205186.45,1822994396029.28,3.73297621216894,11.94,,75.338,,99.8,95.38505233,12.7402696609497,3.69267321290506,14.1229191903622,14.7673386789326,15.5167908269592,28.490129502497,109.12
Brazil,2018,1916933898038.36,1863630987992.04,3.66485028376729,12.33,,75.109,93.2275009155273,99.7,99.64002652,12.8152103424072,4.07748668070066,14.6349994952986,14.241203879248,15.0950416275172,28.4156284771492,107.51
Brazil,2017,2063514977334.32,2024937440938.73,3.44637335032669,12.79,,74.827,93.0758209228516,99.8,106.1217992,13.0888299942017,3.33825981744108,12.5189678700669,11.8007665046081,14.6255875996264,28.3410663137971,106.98
Brazil,2016,1795693482652.52,1757597118247.49,8.73914352329393,11.58,,74.442,92.8084411621094,99.7,117.9869738,12.9940595626831,4.13737803912088,12.4666790443888,12.0670030360511,14.9695469657992,28.2549706035075,99.34
Brazil,2015,1802212206904.68,1768300112266.54,9.02990102416136,8.54,,74.332,92.0478973388672,99.710902,125.6477067,12.697979927063,3.59214931773371,12.9001914177405,14.0534345182709,17.4116258682972,28.1687313206048,101.68
Canada,2020,1655684730000.19,1643688332920.87,0.716999632307827,9.66,,81.6604878048781,,100.0,85.40841921,9.87754249572754,1.75897085668576,29.4736472349344,31.6831237283418,22.6747176119532,6.37073522211031,112.78
Canada,2019,1743725183672.52,1722945761061.66,1.94926902411593,5.69,,82.2239024390244,,100.0,91.59004081,12.6524801254272,2.80676687017653,32.3526958202565,33.8187894602395,23.0424241743147,6.43435624426279,109.72
Canada,2018,1725329192783.02,1695996608536.1,2.26822567248103,5.84,,81.8439024390244,,100.0,89.67401709,12.9341850280762,2.46931207254863,32.3254037264858,34.2744821243903,23.3773111619236,6.45681990811536,108.98
Canada,2017,1649265644244.09,1628291572163.23,1.59688412852977,6.43,,81.8329268292683,,100.0,86.70104032,12.9404630661011,1.53752071953934,31.4544101509781,33.6466506994867,23.5504692286096,6.45441069689781,108.26
Canada,2016,1527994741907.43,1509327936731.45,1.42875954701085,7.04,,81.9248780487805,,100.0,85.15367591,12.6629419326782,2.23835012140903,31.5025724093362,33.8611121122194,22.7611201594839,6.47475514717938,106.55
Canada,2015,1556508816217.14,1532663548013.94,1.12524136094277,6.95,,81.8156097560976,,100.0,83.30038912,12.7445983886719,3.85389453706153,31.8499609634443,34.3149411035338,23.8215933948339,6.46750520601544,98.68
China,2020,14687744162801.0,14570138554163.6,2.41942189457782,5.0,0.0,78.077,96.7395172119141,100.0,120.5961882,10.5329275131226,1.72317554862906,18.5861391980346,16.1681565016707,43.3666742339174,55.462649429444,105.49
China,2019,14279968506242.8,14239959159195.7,2.89923416358227,4.56,0.6,77.968,,100.0,122.8132903,11.2266368865967,1.31071593248213,18.4099923152133,17.4801037185951,43.2511056433342,55.462649429444,104.25
China,2018,13894907857925.9,13833878514023.0,2.07479039965576,4.31,1.7,77.744,,100.0,116.3882038,11.4506902694702,1.69389428445964,19.1121035365691,18.453680565772,43.7934751719835,55.5427392442223,103.42
China,2017,12310491333980.9,12294360422000.8,1.59313600071436,4.47,3.1,77.248,,100.0,104.2265872,12.1552953720093,1.34912369633213,19.6922769879798,17.9401362523264,43.0132973856949,55.6228716656317,102.37
China,2016,11233313730288.5,11177613255096.9,2.00000182191943,4.56,4.5,77.218,,100.0,97.36386675,12.2695617675781,1.55563699883919,19.5843800536192,17.3100349632555,42.6313769321682,55.7030040870411,101.05
China,2015,11061572618594.8,11008790517173.1,1.43702380935655,4.65,5.7,76.977,,100.0,92.70071605,12.2598295211792,2.1921777308569,21.3540798825634,18.1100894525359,43.2348066563071,55.7831305666223,101.33
Germany,2020,3887727161914.41,3998734917350.98,0.144877925813982,3.86,16.0,81.0414634146342,,100.0,128.8867207,9.29844093322754,4.54937644004137,43.4769796664248,37.6703792603996,21.9692807596372,47.4970663155786,95.45
Germany,2019,3889177589254.9,4034728306596.07,1.44565976888253,3.14,16.1,81.2926829268293,,100.0,128.9265144,9.72637844085693,1.90205922776563,47.1275808768289,41.1908085811906,21.8697450570074,47.7002776267209,94.41
Germany,2018,3974443355019.6,4108434453701.96,1.73216879766942,3.38,,80.8926829268293,,100.0,129.6794748,9.63820171356201,4.19972179954621,47.3088591421652,41.2110119003402,21.9195947050172,47.6415364359723,91.87
Germany,2017,3690849152517.65,3778789183700.01,1.50949485109628,3.75,,80.9926829268293,,100.0,132.7695384,9.48073101043701,2.96641685553106,47.1630406836519,40.0741622693716,20.962273044479,47.7631164667831,97.5
Germany,2016,3469853463945.53,3555930677612.46,0.491747008445174,4.12,,80.990243902439,,100.0,125.6749823,9.4778299331665,1.86590691690458,46.0732628543356,38.6963831131131,19.9674295156855,47.6843370735058,97.76
Germany,2015,3357585719351.56,3434101056827.73,0.514426137125456,4.62,,80.6414634146341,,100.0,117.4073504,9.63814353942871,1.86072918161758,46.920738356608,39.3254862566007,19.742943248584,47.9590666743106,99.27
European Union,2020,15381174426002.4,15375797711576.1,0.476498852725066,7.04170193367699,,80.4508691329259,,99.9951476443481,121.476371720115,10.3530426025391,1.47594794674369,46.4635576544272,42.8130615493929,22.4522593906337,40.8498092877156,
European Union,2019,15693432719569.6,15750708574945.7,1.63052260754344,6.67352230775454,,81.3148579639404,,99.9874478132819,121.799562736112,10.9761648178101,3.2335947977047,49.4036549958727,45.922002154679,22.9037586251614,41.3030947284049,
European Union,2018,15980992271824.9,16049500748319.8,1.7386086198818,7.25092717457341,,81.0287289990803,,99.9718374179182,121.955286915766,10.8592433929443,-0.480508645023895,49.1190221186125,45.3043737560959,22.1868663353758,40.9675137743121,
European Union,2017,14765543450855.0,14786040902976.5,1.42910743319306,8.11977249389514,,80.9282086468659,,99.9693132092866,122.55683721261,10.7396984100342,3.58671008743344,48.2887684606108,44.0442617924024,21.5779024688748,41.0941296811955,
European Union,2016,13888512857169.0,13903227515049.4,0.18333486112386,9.10359612363724,,80.9512974807301,,99.9176066297493,122.1922182244,10.6469306945801,5.20315132626,46.6453615761556,42.2925256531009,20.9615607588296,41.1036987552951,
European Union,2015,13553676666875.9,13540468230382.3,-0.0616446800641672,10.0186246758232,,80.5684394242096,,99.889647307613,121.827779366561,10.5435152053833,6.03001941779184,47.0495369962884,42.6946305551601,20.7635954861281,41.349551245614,
France,2020,2647418691598.45,2667982790343.98,0.476498852725066,8.01,,82.1756097560976,,100.0,112.8271405,8.82271194458008,0.731611886624969,27.3277355735877,29.4544212005012,24.0856541802857,52.1475462828527,93.7
France,2019,2728870246705.88,2787416524619.6,1.10825492288294,8.41,,82.8268292682927,,100.0,111.8637727,9.48199844360352,1.96049400180615,31.5920554143668,32.549417775836,24.3646813407257,52.2706969320089,98.0
France,2018,2790956878746.66,2855661376338.82,1.85081508315503,9.02,,82.6756097560976,,100.0,109.5588076,9.56552600860596,2.77657814362355,31.7136672102555,32.7242853866575,23.8572575874643,52.3417653321937,97.17
France,2017,2595151045197.65,2653805221561.18,1.03228275064662,9.41,,82.5756097560976,,100.0,107.5983841,9.54689502716064,1.38212038996387,30.9486331871,32.0132141063066,23.4360158833941,52.410066897145,101.33
France,2016,2472964344587.17,2525276585700.01,0.18333486112386,10.06,,82.5731707317073,,100.0,105.5973124,9.54159355163574,1.32649169812718,30.2475371833945,30.852605198715,22.6094822635577,52.4475461002233,95.29
France,2015,2439188643162.5,2491864986670.7,0.0375143805125182,10.35,,82.3219512195122,,100.0,104.4996731,9.59043502807617,1.75572374141658,30.5926223781313,31.1590715564548,22.7123240564184,52.4637617636155,102.22
United Kingdom,2020,2697806592293.86,2640330920076.4,0.989486703772491,4.472,,80.3512195121951,,100.0,117.8163133,10.7294292449951,5.82642060957899,29.6919908301525,29.0825685457504,17.5723570157697,71.3400491877816,98.14
United Kingdom,2019,2851407164907.81,2848530128634.05,1.73810460086513,3.74,,81.4048780487805,,100.0,120.8484884,12.018479347229,0.694070007703287,31.63478028095,33.0303533562736,18.3786714033307,72.4229988013062,104.43
United Kingdom,2018,2871340347581.79,2832314578365.26,2.29283990345938,4.0,,81.2560975609756,,100.0,118.7527408,12.1116199493408,-0.872604333652357,31.5801113597336,32.9625368906995,18.1814464871133,71.7185202331253,99.59
United Kingdom,2017,2680148052335.3,2651310310924.48,2.55775577557747,4.33,18.6,81.2560975609756,,100.0,119.7294099,12.2813653945923,4.67730914435461,30.8903510330461,32.2312989980226,18.4831849687056,72.1950667548465,102.21
United Kingdom,2016,2689106566899.61,2626007963890.08,1.0084173681141,4.81,17.0,81.1560975609756,,100.0,120.2210676,12.2454032897949,12.0788528134648,28.9023395233588,30.7980588910172,17.9347223024184,71.7148836440293,97.98
United Kingdom,2015,2927911140916.73,2864097393294.2,0.36804684232536,5.3,,80.9560975609756,,100.0,121.5048919,12.2949190139771,1.54832168533284,27.845950666101,29.3575990202724,17.8693846072767,70.8386723432398,101.35
Indonesia,2020,1059054842698.48,1029975056921.9,1.9209680056685,4.25,9.8,68.808,95.9990081787109,96.95,130.8110952,17.9436836242676,1.81058402027127,17.3311682847479,15.6410071156049,32.3434120538019,34.2473231961967,110.75
Indonesia,2019,1119099871350.2,1085078650138.71,3.03058664969487,3.59,9.4,70.518,,98.85,126.5946679,17.33811378479,2.23336204282241,18.5915277973681,19.0362497389257,33.7801423774905,34.1407996403765,109.5
Indonesia,2018,1042271532988.63,1011212626783.42,3.1983464156241,4.39,9.8,70.338,95.658561706543,98.51,119.6084851,16.7957096099854,1.81428979349441,21.0027464970783,22.0715624577963,34.5705858321277,34.0342760845563,115.55
Indonesia,2017,1015618744159.73,983437956183.896,3.80879806953157,3.78,10.6,69.936,,98.14,164.5351584,16.1104793548584,2.01948919812582,20.1773044351849,19.1781926356863,33.7105947959288,33.7147054170956,110.0
Indonesia,2016,931877364037.698,902045435884.24,3.5258051568793,4.3,10.9,69.798,95.3769683837891,97.62,147.24962,21.078784942627,0.487372471368879,19.0889938535584,18.332347948917,33.8587393039607,31.7972814123319,98.66
Indonesia,2015,860854232686.214,832298853313.049,6.36312113115612,4.51,11.2,69.699,95.2179336547852,97.5373674369822,130.8216306,16.7138710021973,2.29761639380441,21.1601792601373,20.7774609813453,34.0627921805277,30.7853076320399,101.74
India,2020,2671595405986.86,2635665834172.74,6.62343677628578,7.86,,70.15,,96.5,82.621059,14.7189998626709,2.40913593615799,18.7052473571499,19.0988780048576,28.7522985057029,60.0458628611021,120.12
India,2019,2835606256616.03,2808367623253.76,3.72950573539131,6.51,,70.91,,95.8859405517578,83.25286162,14.9980001449585,1.78482633953521,18.6642648968953,21.2411386329439,30.0961975679772,60.2198133654425,116.26
India,2018,2702929641707.38,2673994276922.96,3.93882646691605,7.65,,70.71,,95.7,85.90350833,13.0659999847412,1.55821483798075,19.9278285984011,23.6891407330116,32.3432182052814,60.2435646561437,114.2
India,2017,2651474262735.28,2622801076651.4,3.32817337461305,7.728,,70.467,,91.7941589355469,86.31708801,13.548999786377,1.50731583257041,18.7917648394481,21.9507321154016,30.9821757632151,60.2839387997403,108.94
India,2016,2294796885682.55,2268496715258.95,4.9482163406217,7.808,,70.117,,89.5863037109375,84.25058892,17.1550006866455,1.93736412242753,19.1582349104292,20.9242508025003,30.1726916703029,60.3990999566123,102.31
India,2015,2103588360066.32,2079182865638.45,4.90697344127221,7.891,,69.636,,88.0,75.67324414,16.3339996337891,2.09211521441126,19.8131891561946,22.1097247092091,32.1167301355199,60.4317248477225,98.45
Italy,2020,1897461635591.91,1921655176693.23,-0.13770757391651,9.16,20.1,82.1951219512195,,100.0,130.3870472,7.4938817024231,-0.898589953074252,29.4322770258695,25.8334287440019,17.7007437457253,42.332263616904,99.92
Italy,2019,2011302198827.45,2027301728521.57,0.611246943765304,9.95,20.0,83.4975609756098,99.3490982055664,100.0,133.0713342,8.04736328125,1.77797997338903,31.6024197276206,28.2765604958343,18.2396779336637,44.3699956377212,98.46
Italy,2018,2091932426266.98,2115040163160.31,1.13748763600391,10.61,20.1,83.3463414634146,,100.0,139.1884938,8.11164093017578,2.11525548165585,31.3535542007886,28.9499970418731,18.5274602244834,41.948748469826,99.17
Italy,2017,1961796197354.36,1972735013154.24,1.22653316645812,11.21,20.3,82.9463414634147,,100.0,139.776512,7.91769123077393,0.567766926666821,30.733733319636,27.8704426276557,18.0540711674032,43.3743295977925,97.96
Italy,2016,1877071687633.78,1882461088199.89,-0.09401665691575,11.69,20.3,83.2439024390244,,100.0,142.9771615,7.86237335205078,1.36684517505744,29.3278907466434,26.0397120675783,17.5610283085114,43.3250596852407,101.88
Italy,2015,1836637711060.55,1823940445540.23,0.0387903996579733,11.9,20.6,82.5439024390244,,100.0,145.5869288,7.94384479522705,0.724336604335309,29.7159823723612,26.7021937892476,17.1072670212734,43.7748124902779,102.55
Japan,2020,5055587093501.59,5241005753827.88,-0.024995834027731,2.81,,84.56,,100.0,155.7389638,7.29284954071045,1.23793178201869,15.528515498653,15.7972776256456,25.2463189703306,12.8449931412894,100.3
Japan,2019,5117993853016.51,5318494421653.03,0.46877615938395,2.35,,84.3563414634146,,100.0,148.2722187,8.14637565612793,0.780785313301259,17.4635264275221,17.7528916808924,25.7896961306359,12.9355281207133,100.39
Japan,2018,5040880939324.86,5233677416722.46,0.989094598021848,2.47,,84.2109756097561,,100.0,142.4668807,8.12938404083252,0.501685482403774,18.3149455985223,18.2949862035848,25.6417143090178,13.0205761316872,99.67
Japan,2017,4930837369151.42,5113251596855.53,0.484199796126385,2.82,,84.099756097561,,100.0,136.4176676,8.15319728851318,0.381319638034274,17.5914391047836,16.831774467385,25.2148269758242,13.1083676268861,99.87
Japan,2016,5003677627544.24,5177794688417.2,-0.127258844489754,3.13,,83.9848780487805,,100.0,131.3864746,8.19608783721924,0.818481615264516,16.0579692360598,15.2522776095286,24.8355973184149,13.2043895747599,99.42
Japan,2015,4444930651964.18,4619771168713.41,0.795279630579839,3.39,,83.7939024390244,,100.0,126.1756831,8.37435340881348,0.118161987748241,17.4367598376529,17.990648516827,25.1653478796719,13.2949245541838,99.72
"Korea, Rep.",2020,1644312831906.17,1658668665990.32,0.537288023411737,3.93,,83.4268292682927,,100.0,136.0094467,12.8317098617554,0.533043337613518,36.359590549146,32.6744545418102,31.8845852650415,16.608606557377,99.36
"Korea, Rep.",2019,1651422932447.77,1665675897739.53,0.383000303608136,3.75,,83.2268292682927,,100.0,132.9873505,13.8308200836182,0.58339386057331,39.2758610673609,36.4812778978581,31.4949336660816,16.7725409836066,101.0
"Korea, Rep.",2018,1725373496825.43,1732322374323.88,1.47583935002645,3.82,,82.6268292682927,98.8000030517578,100.0,128.4051056,14.3129301071167,0.706084799750036,41.7132908430894,37.2755746703469,31.487184177201,16.9401148482363,100.01
"Korea, Rep.",2017,1623074183501.9,1629690182358.85,1.94433230786366,3.65,,82.6268292682927,,100.0,123.581176,14.2984504699707,1.10364025144874,40.9342069409884,36.1867108656532,32.2880634736146,17.1951594708235,97.52
"Korea, Rep.",2016,1499679823909.61,1505162317173.77,0.971685739912168,3.65,,82.2756097560976,,100.0,119.46123,14.3025398254395,0.80712561488255,40.1326509111205,33.4711585544775,30.1426786021619,17.4460708387613,98.5
"Korea, Rep.",2015,1466038936206.43,1470624628355.3,0.70633177245575,3.55,,82.0243902439024,,100.0,115.5716703,15.4799995422363,0.279944815832785,42.989561527711,36.142932861381,29.5292808218765,17.815177792601,99.54
Mexico,2020,1120741118380.27,1084885310855.53,3.39683415570007,4.44,43.9,70.133,95.2478485107422,99.4,97.53972081,16.1958599090576,2.81273855389181,39.2466291584181,37.6298949046041,20.2007410007137,49.969392216878,112.74
Mexico,2019,1305212479961.59,1268448963183.63,3.63596142127046,3.48,,74.202,,99.6,97.561569,,2.29436351358525,38.4969936548922,38.8993311208235,22.1108367141392,49.4385143650814,111.8
Mexico,2018,1256300182983.65,1223821716325.76,4.89935015356551,3.27,41.9,74.015,95.3799133300781,99.5,96.89668563,16.5778503417969,3.01338710793554,39.0439304387032,41.1687312115588,23.4774930613878,49.6494251395355,110.33
Mexico,2017,1190721475958.84,1160558920111.93,6.04145724018986,3.42,,74.138,94.9727783203125,100.0,93.07232465,17.577299118042,2.78101459019496,37.5140886182228,39.438037419088,23.8923507084672,49.8706242444507,107.85
Mexico,2016,1112233497399.12,1083159760701.56,2.8217078474766,3.85,43.6,74.412,94.859619140625,99.5,91.94482417,17.9393291473389,3.49742216359818,36.8156772532543,38.8746261592469,24.3433923367685,50.5866920445485,104.11
Mexico,2015,1213294467527.59,1182962836946.15,2.72064064964023,4.31,,74.682,94.472282409668,99.0,89.62827659,19.0187492370605,2.98772808721934,34.1627726926537,36.2502019945959,23.7361297477321,50.7626224954345,98.44
Russian Federation,2020,1493075894362.14,1458071188302.47,3.38165937237877,5.59,12.1,71.3387804878049,,99.8977813720703,163.5893357,8.9350471496582,0.634851184443604,25.5221855113549,20.4447226915578,23.4558291480158,13.1584362579663,112.01
Russian Federation,2019,1693115002708.32,1639594407941.05,4.47036660760193,4.5,12.3,73.0839024390244,,99.7779693603516,164.3876311,9.2856969833374,1.88851731564914,28.4334306799759,20.7953229819275,22.6615137722235,13.1584362579663,110.0
Russian Federation,2018,1657328773461.31,1616936904758.28,2.87829723647867,4.85,12.6,72.6621951219512,,100.0,157.431312,10.0498723983765,0.530060790633169,30.7932568020743,20.7876435683221,21.9180891512463,13.1584362579663,104.69
Russian Federation,2017,1574199360089.0,1532146060813.91,3.68332944412253,5.21,12.9,72.4514634146342,,100.0,156.187408,9.50124835968018,1.81409297475419,26.0908809797568,20.7856433573743,23.6067558621651,13.1584362579663,107.43
Russian Federation,2016,1276786350881.14,1241289768349.06,7.04244762954774,5.56,13.2,71.6512195121951,,99.4102249145508,157.718498,9.59414482116699,2.54849998807899,25.8544829769167,20.6636368626929,23.0954224731096,13.1584362579663,102.44
Russian Federation,2015,1363482182197.71,1325733351220.47,15.5344050528405,5.57,13.4,71.1834146341463,,95.5,156.7665611,2.19599723815918,0.502607961400285,28.703389442924,20.6559598687647,22.148725318159,13.1584362579663,100.04
Saudi Arabia,2020,734271183944.989,748219525784.989,3.44545825956692,7.45,,76.239,97.5850677490234,99.99,120.052537,,0.220799104048292,24.9019693400002,24.8115017850203,27.6915009822454,80.7732138122241,170.03
Saudi Arabia,2019,838564705295.139,846464174160.0,-2.09333333333329,5.64,,77.304,,99.99,115.2711969,,0.367200912688043,34.0891908248141,26.1089986001404,28.2955638697894,80.7634751987496,144.94
Saudi Arabia,2018,846583791842.629,854294710640.0,2.45814158007532,6.03,,77.212,,99.89,117.9691219,,1.43413119290629,37.1985130372044,24.757076104646,26.1230581080572,80.7537365852751,128.79
Saudi Arabia,2017,714994694991.651,725692589253.333,-0.838194579675018,5.89,,77.16,95.3286285400391,99.97,117.5995716,,0.141827975542142,33.5657513454235,28.2485592533291,28.7961311173978,80.7540156952863,122.02
Saudi Arabia,2016,665999879694.192,681726656933.333,2.06884036053473,5.6,,77.064,,99.9,143.4406683,,3.29652220058015,30.1591759400189,29.746284682379,30.8975612529173,80.7683898608636,107.33
Saudi Arabia,2015,669484381328.891,686764397253.333,1.20607322150109,5.6,,76.918,,100.0,161.21011,,0.593089875635313,32.5639254331113,36.9399584262805,34.2235046839676,80.7730416943838,101.45
Turkiye,2020,720338498174.744,711770498180.451,12.2789574462574,13.11,14.4,75.85,,100.0,97.61417509,9.31123352050781,1.0654713054276,29.1207898635811,32.2229652348943,31.3406098521403,49.0651351948339,120.22
Turkiye,2019,761005946788.221,749159946783.639,15.1768215720022,13.67,15.0,77.832,96.7422103881836,100.0,96.77676962,11.1729640960693,1.24926750442933,33.0742147083823,30.1190756147214,24.8780747647534,49.0053662149344,114.28
Turkiye,2018,778972199727.859,767897199717.503,16.3324638988928,10.89,14.4,77.563,,100.0,96.74999684,10.7427701950073,1.59825986143659,31.2326925586374,31.3815186141744,29.4582318355531,49.1171082208334,109.28
Turkiye,2017,858988492853.742,848260589896.256,11.1443110840765,10.82,13.9,77.141,96.1505279541016,100.0,94.77443648,10.8092060089111,1.30269498288905,26.0394223439924,29.7227464055755,30.6942181017627,49.3275989761314,108.58
Turkiye,2016,869682881593.041,860501987990.603,7.7751341532833,10.84,13.5,76.66,96.1673278808594,100.0,92.64658163,11.4074268341064,1.59080974143791,23.0835091311263,25.244677102771,28.0196036096236,49.8005535127269,102.45
Turkiye,2015,864313810469.009,854629842511.55,7.67085364845877,10.24,14.3,76.646,95.6014175415039,100.0,92.45799717,11.8485431671143,2.22870440882429,24.5312773389092,26.557266261846,28.1992021702007,50.0903031326741,101.77
United States,2020,21060473613000.0,21479588000000.0,1.23358439630629,8.05,,76.9804878048781,,100.0,104.9353748,12.6542158126831,0.656979527348296,10.2092290966942,13.1834784488709,21.6748306988798,44.363367353855,103.12
United States,2019,21380976119000.0,21760847000000.0,1.81221007526021,3.67,,78.7878048780488,,100.0,106.4140195,15.5171337127686,1.47787452846554,11.8724701148898,14.5781651064572,21.8295459198067,44.363367353855,99.64
United States,2018,20533057312000.0,20883383000000.0,2.44258329692817,3.9,,78.6390243902439,,100.0,104.847944,15.7807312011719,1.0457039920427,12.3609892157496,15.2493900563462,21.6987608435503,44.363367353855,103.19
United States,2017,19477336549000.0,19837150000000.0,2.13011000365961,4.36,,78.5390243902439,,100.0,103.1297891,15.9008255004883,1.95521086285051,12.2617381180006,15.0512827697199,21.3021477015707,44.363367353855,101.95
United States,2016,18695110842000.0,18983369000000.0,1.26158320570536,4.87,,78.5390243902439,,100.0,103.3702501,15.9738168716431,2.53749765919682,11.957982056879,14.6499800035794,21.0106376645574,44.3037053070702,104.86
United States,2015,18206020741000.0,18608138000000.0,0.118627135552451,5.28,,78.690243902439,,100.0,102.3083933,16.0524635314941,2.80914762910409,12.4718192531032,15.351745665684,21.5198755166573,44.2440272776368,97.01
South Africa,2020,338291396025.956,332655390435.871,3.21003597454107,24.34,,65.252,,90.0,163.1909795,18.484130859375,0.932200051919526,27.5273512950695,23.1594920424234,12.5375410512897,79.4178502831612,111.43
South Africa,2019,389330032221.07,379611912078.734,4.12024587014984,25.54,,66.175,95.0229721069336,85.0,166.9433215,18.6945037841797,1.31407752294385,27.2021294049063,26.695867003704,15.8207933779842,79.4178502831612,104.48
South Africa,2018,405260723892.868,393942734756.111,4.51716522786592,24.22,,65.674,,84.7,161.1938374,20.2936897277832,1.3742911715334,27.4970371511922,26.9885079763801,16.1705829790784,79.4178502831612,104.36
South Africa,2017,381448814654.62,370872987853.886,5.18424664766128,23.99,,65.402,87.0466690063477,84.4,156.2424453,18.8800506591797,0.539673956757809,27.3400757806733,26.1958560486248,16.6107340619279,79.4178502831612,105.85
South Africa,2016,323585509674.481,315294109648.646,6.57139642173964,24.02,,64.747,,83.9,146.0644426,16.1201610565186,0.684612553455795,28.1560881698955,27.7051693349827,16.9604522948246,79.4178502831612,96.06
South Africa,2015,346709790458.563,338766618711.13,4.54064227737906,22.87,,63.95,94.367919921875,85.3,157.4892588,18.8851432800293,0.438735792056359,27.7136384124829,29.0130377322327,18.6332066638376,79.4178502831612,100.99
